,adview,views,likes,dislikes,comment,published,dur_sec,category_A,category_B,category_C,category_D,category_E,category_G,category_H
59,1,7702.0,23.0,0.0,1.0,2014-11-15,140,0,0,0,0,0,1,0
60,1,101581.0,314.0,11.0,4.0,2015-11-30,47,0,0,0,1,0,0,0
61,182,581.0,7.0,0.0,1.0,2014-01-26,86,0,0,0,1,0,0,0
62,5,1515742.0,14551.0,514.0,5752.0,2016-03-09,353,0,1,0,0,0,0,0
63,36,11991184.0,48324.0,5808.0,5167.0,2014-09-12,2664,0,0,0,1,0,0,0
64,3,1275680.0,4743.0,932.0,184.0,2016-03-11,275,0,0,0,1,0,0,0
65,3,127821.0,1127.0,80.0,466.0,2016-07-11,711,0,0,0,0,0,0,0
66,1,7779.0,59.0,0.0,7.0,2016-06-25,261,0,0,0,0,0,1,0
67,11,415699.0,251.0,49.0,23.0,2012-05-14,89,0,0,0,1,0,0,0
68,1,162390.0,1031.0,34.0,33.0,2015-09-17,1241,0,0,1,0,0,0,0
69,7,683587.0,1172.0,122.0,85.0,2013-05-28,1180,0,0,0,1,0,0,0
70,2,38570.0,55.0,6.0,11.0,2011-06-14,663,0,0,0,0,1,0,0
71,2,503532.0,1872.0,50.0,85.0,2012-03-20,267,0,0,0,0,0,1,0
72,1,52039.0,240.0,16.0,145.0,2016-06-28,602,0,0,0,1,0,0,0
73,16,5863262.0,10238.0,2541.0,611.0,2015-08-21,167,0,0,1,0,0,0,0
74,3,981761.0,2414.0,267.0,217.0,2016-05-16,257,0,0,0,1,0,0,0
75,1,31339.0,142.0,11.0,16.0,2009-10-14,165,0,0,0,0,0,1,0
76,1,18222.0,51.0,6.0,30.0,2014-02-16,258,0,0,0,1,0,0,0
77,1,21772.0,37.0,3.0,3.0,2016-02-19,8402,0,0,0,1,0,0,0
78,4,15345.0,9.0,8.0,0.0,2013-12-03,266,0,0,0,1,0,0,0
79,1,81993.0,882.0,21.0,227.0,2012-12-23,359,0,0,0,1,0,0,0
80,3,293365.0,126.0,36.0,7.0,2012-01-18,219,0,0,0,1,0,0,0
81,1,1939.0,36.0,0.0,16.0,2014-10-30,379,0,0,0,1,0,0,0
82,1,23692.0,178.0,6.0,19.0,2015-07-12,264,0,0,0,1,0,0,0
83,2,970875.0,4982.0,235.0,256.0,2015-02-16,344,0,0,0,0,0,1,0
84,2,11703.0,217.0,13.0,6.0,2016-09-23,336,0,0,0,0,0,1,0
85,1,167645.0,154.0,52.0,81.0,2016-04-15,54,0,0,0,1,0,0,0
86,1,7759.0,34.0,4.0,18.0,2013-11-11,796,0,0,0,1,0,0,0
87,2,775.0,7.0,0.0,1.0,2016-08-24,511,0,0,0,1,0,0,0
88,69,3423094.0,1195.0,624.0,26.0,2012-09-01,163,0,0,0,1,0,0,0
89,5,21512.0,203.0,12.0,61.0,2013-05-28,569,0,0,0,0,0,1,0
90,1,123061.0,140.0,42.0,20.0,2016-09-28,601,0,0,0,1,0,0,0
91,2,25680.0,20.0,6.0,1.0,2012-08-31,215,1,0,0,0,0,0,0
92,2,635882.0,1048.0,126.0,589.0,2016-03-02,417,0,0,0,0,1,0,0
93,2,578880.0,1434.0,205.0,173.0,2016-06-05,508,0,0,0,1,0,0,0
94,1,141023.0,154.0,44.0,16.0,2014-12-07,275,0,0,0,1,0,0,0
95,1,1208415.0,2082.0,202.0,120.0,2010-11-10,161,0,0,0,1,0,0,0
96,1,5993.0,11.0,2.0,1.0,2015-09-21,40,0,0,0,0,1,0,0
97,6,1908671.0,675.0,448.0,71.0,2016-09-13,115,0,0,0,1,0,0,0
98,124,609442.0,6698.0,349.0,724.0,2016-01-31,251,0,0,0,0,0,1,0
99,1,569870.0,730.0,63.0,69.0,2011-06-24,250,0,0,0,0,0,1,0
100,11,335120.0,327.0,125.0,28.0,2016-08-20,76,0,0,0,1,0,0,0
101,3291,4351.0,56.0,1.0,18.0,2017-03-22,193,0,0,0,1,0,0,0
102,1,424331.0,166.0,80.0,6.0,2016-07-14,96,0,0,0,1,0,0,0
103,1,845994.0,4212.0,251.0,736.0,2015-07-15,184,0,0,0,0,1,0,0
104,14,921464.0,430.0,343.0,,2016-08-06,106,0,0,0,1,0,0,0
105,19,598434.0,4851.0,1170.0,1243.0,2012-09-21,346,0,0,0,0,0,1,0
106,4,184429.0,1136.0,175.0,625.0,2016-09-30,435,0,1,0,0,0,0,0
107,1,321059.0,1373.0,119.0,544.0,2016-09-16,395,0,0,0,1,0,0,0
108,1,4609.0,67.0,7.0,60.0,2013-12-15,312,0,0,0,0,0,1,0
109,10,2911207.0,18658.0,384.0,2599.0,2016-07-09,449,0,1,0,0,0,0,0
110,14,845625.0,652.0,197.0,71.0,2016-07-09,127,0,0,0,1,0,0,0
111,1,6487.0,23.0,1.0,0.0,2013-12-06,250,0,0,0,1,0,0,0
112,1,3793.0,2.0,3.0,0.0,2013-12-11,902,0,0,0,0,1,0,0
113,8,599143.0,1682.0,119.0,55.0,2012-03-21,573,0,0,0,1,0,0,0
114,2,13259.0,92.0,10.0,8.0,2013-09-09,491,0,1,0,0,0,0,0
115,1,141.0,0.0,0.0,0.0,2016-08-26,31,0,0,0,1,0,0,0
116,2,678578.0,267.0,112.0,,2014-08-17,467,0,0,1,0,0,0,0
117,37895,63164.0,60.0,5.0,7.0,2016-10-21,183,0,0,0,1,0,0,0
118,4,542073.0,2043.0,138.0,459.0,2015-01-24,87,0,0,0,1,0,0,0
119,1,525236.0,7064.0,95.0,460.0,2016-06-23,777,0,0,0,1,0,0,0
120,2,11909.0,40.0,1.0,2.0,2011-12-04,65,0,0,0,0,1,0,0
121,1,279067.0,1610.0,203.0,1823.0,2016-08-03,1515,0,0,0,1,0,0,0
122,2,194540.0,2106.0,242.0,254.0,2016-08-15,139,0,1,0,0,0,0,0
123,1,57917.0,461.0,11.0,10.0,2014-07-04,883,0,0,0,0,0,0,1
124,1,118990.0,195.0,11.0,14.0,2015-10-21,112,0,0,0,0,1,0,0
125,1,10168.0,88.0,2.0,11.0,2016-05-19,326,0,0,0,1,0,0,0
126,1,10328.0,79.0,14.0,,2014-04-18,261,0,1,0,0,0,0,0
127,1,17530.0,95.0,5.0,11.0,2016-09-23,145,0,0,0,0,1,0,0
128,372,40222.0,60.0,48.0,11.0,2015-08-17,68,0,0,0,1,0,0,0
129,1,236928.0,281.0,37.0,6.0,2016-02-26,163,0,0,0,1,0,0,0
130,1909,2019.0,4.0,0.0,3.0,2017-02-07,385,0,0,0,1,0,0,0
131,1,610698.0,10095.0,183.0,646.0,2014-03-15,317,0,1,0,0,0,0,0
132,2,52837.0,989.0,15.0,53.0,2016-11-03,416,0,0,0,1,0,0,0
133,1,113011.0,158.0,37.0,24.0,2015-09-02,121,0,0,0,1,0,0,0
134,68944,187968.0,2972.0,185.0,564.0,2016-12-20,340,0,0,0,1,0,0,0
135,3,318644.0,592.0,118.0,76.0,2012-07-11,691,0,0,1,0,0,0,0
136,4,2704332.0,3772.0,192.0,316.0,2009-06-18,458,0,0,0,0,0,1,0
137,1,5934.0,27.0,0.0,8.0,2013-11-01,545,0,0,0,1,0,0,0
138,1,54161.0,219.0,6.0,11.0,2013-07-11,309,0,0,0,0,0,1,0
139,3801,11097.0,58.0,3.0,7.0,2015-06-22,227,0,0,0,0,0,1,0
140,1,269247.0,8142.0,134.0,744.0,2016-09-22,2261,1,0,0,0,0,0,0
141,2,66892.0,232.0,8.0,125.0,2009-07-19,566,0,0,0,0,0,1,0
142,20,144107.0,450.0,11.0,36.0,2014-02-06,692,0,1,0,0,0,0,0
143,1,8413.0,70.0,3.0,1.0,2016-12-24,61,0,0,0,0,1,0,0
144,1,2721169.0,15452.0,401.0,564.0,2016-12-01,254,0,0,0,0,0,1,0
145,1,61779.0,194.0,7.0,33.0,2016-09-20,751,0,0,0,1,0,0,0
146,2633,3698.0,8.0,1.0,0.0,2014-06-02,195,0,0,0,0,0,0,0
147,1,1717192.0,6180.0,176.0,481.0,2016-06-17,157,0,0,0,0,0,1,0
148,1,817940.0,3692.0,74.0,263.0,2014-09-03,345,0,0,0,0,0,1,0
149,1,427942.0,1244.0,47.0,114.0,2015-02-02,217,0,0,0,1,0,0,0
150,2,11304.0,56.0,3.0,8.0,2013-11-11,697,0,0,0,1,0,0,0
151,12,569363.0,3253.0,398.0,923.0,2015-09-20,117,0,0,0,1,0,0,0
152,7,755505.0,1869.0,515.0,214.0,2016-01-16,2097,0,0,0,0,0,1,0
153,2,166099.0,189.0,54.0,20.0,2015-05-22,9059,0,0,0,1,0,0,0
154,4853,6423.0,7.0,2.0,0.0,2015-09-22,129,0,0,0,1,0,0,0
155,8,127347.0,,,4.0,2017-02-28,3259,0,0,0,0,0,1,0
156,1,413720.0,2381.0,65.0,489.0,2016-07-10,319,0,0,0,1,0,0,0
157,1,1350.0,1.0,0.0,0.0,2015-06-03,6,0,0,0,0,1,0,0
158,6,292248.0,901.0,42.0,66.0,2014-12-09,179,0,0,0,0,1,0,0
159,27,3475658.0,3593.0,1168.0,210.0,2015-04-13,3707,0,0,0,0,1,0,0
160,2,487233.0,2645.0,439.0,835.0,2015-05-10,173,0,0,0,0,0,0,0
161,8,162216.0,1005.0,25.0,37.0,2016-06-20,169,0,0,0,1,0,0,0
162,2,2257.0,2.0,0.0,0.0,2013-10-14,499,0,0,0,1,0,0,0
163,3,849510.0,8176.0,1230.0,2190.0,2012-01-07,119,0,0,0,1,0,0,0
164,1,44545.0,62.0,17.0,15.0,2016-09-13,701,0,0,0,1,0,0,0
165,2,236444.0,1037.0,92.0,61.0,2015-04-16,2747,0,0,0,0,0,1,0
166,1,146078.0,510.0,31.0,29.0,2014-12-06,3290,0,0,1,0,0,0,0
167,1,68763.0,75.0,29.0,1.0,2014-08-05,1715,0,0,0,1,0,0,0
168,2,2353030.0,26642.0,276.0,4564.0,2016-03-16,582,0,1,0,0,0,0,0
169,1,797173.0,739.0,379.0,67.0,2015-06-22,90,0,0,0,0,0,0,1
170,1,539.0,0.0,0.0,0.0,2015-03-02,122,0,0,0,1,0,0,0
171,7,37147.0,234.0,9.0,4.0,2016-08-08,149,0,0,0,0,1,0,0
172,238,1760531.0,2220.0,401.0,151.0,2013-08-21,258,0,0,0,1,0,0,0
173,1,150554.0,304.0,39.0,47.0,2015-09-01,264,0,0,0,1,0,0,0
174,4,11678.0,25.0,0.0,1.0,2010-10-02,600,0,0,0,0,0,1,0
175,3,437404.0,1081.0,79.0,42.0,2013-12-16,1845,0,0,0,1,0,0,0
176,7,368.0,0.0,1.0,0.0,2016-04-14,21,0,0,0,1,0,0,0
177,1,343728.0,488.0,75.0,74.0,2015-05-15,6757,0,0,0,0,1,0,0
178,1,11226.0,34.0,3.0,0.0,2016-08-03,165,0,0,0,0,1,0,0
179,2,60994.0,78.0,16.0,12.0,2013-02-02,78,0,0,0,1,0,0,0
180,1,4834.0,0.0,0.0,0.0,2016-04-18,8618,0,0,0,1,0,0,0
181,21614,36728.0,768.0,6.0,14.0,2016-11-24,176,0,0,0,1,0,0,0
182,7,650504.0,1667.0,94.0,43.0,2013-12-29,372,0,0,0,1,0,0,0
183,3,770809.0,582.0,227.0,69.0,2016-07-19,637,0,0,0,1,0,0,0
184,2,35171.0,383.0,5.0,60.0,2012-07-06,366,0,0,0,0,0,1,0
185,5,835520.0,7128.0,367.0,1194.0,2016-08-12,3230,0,0,0,0,1,0,0
186,1,215305.0,238.0,53.0,74.0,2014-11-07,252,0,0,0,0,1,0,0
187,6,1107051.0,1421.0,134.0,47.0,2013-12-03,46,0,0,0,1,0,0,0
188,1,881444.0,,,37.0,2015-05-11,415,0,0,0,0,0,0,1
189,1,92.0,1.0,0.0,0.0,2014-04-04,280,0,0,0,1,0,0,0
190,22,132515.0,442.0,49.0,146.0,2015-09-25,441,0,0,0,1,0,0,0
191,1,2631.0,14.0,1.0,3.0,2014-01-02,806,0,0,0,0,0,1,0
192,8,460207.0,826.0,94.0,24.0,2013-02-07,276,0,0,0,1,0,0,0
193,1,66676.0,277.0,10.0,18.0,2015-05-08,1050,0,0,1,0,0,0,0
194,2210,2551.0,0.0,0.0,2.0,2013-06-05,76,0,1,0,0,0,0,0
195,191,791067.0,7285.0,378.0,799.0,2017-01-28,413,0,1,0,0,0,0,0
196,1,25886.0,88.0,5.0,6.0,2014-01-06,362,0,0,0,1,0,0,0
197,1,366630.0,260.0,142.0,13.0,2015-09-11,114,0,0,0,0,1,0,0
198,1,1138910.0,2919.0,817.0,628.0,2014-02-14,69,0,0,0,1,0,0,0
199,1,1517387.0,4557.0,237.0,407.0,2014-06-25,170,0,0,0,0,1,0,0
200,9,113411.0,195.0,24.0,34.0,2013-07-21,1175,0,0,0,0,0,1,0
201,3,49113.0,587.0,15.0,131.0,2013-05-27,180,0,0,0,1,0,0,0
202,4,929267.0,349.0,104.0,24.0,2011-02-11,8582,0,0,0,0,1,0,0
203,1,161673.0,241.0,12.0,145.0,2006-11-02,184,0,0,0,1,0,0,0
204,1,40771.0,481.0,13.0,59.0,2016-12-02,160,1,0,0,0,0,0,0
205,2,95077.0,249.0,16.0,86.0,2014-03-25,824,0,0,0,1,0,0,0
206,1,1188997.0,2323.0,244.0,1278.0,2016-08-29,594,0,0,0,0,0,0,1
207,1,544614.0,9149.0,52.0,474.0,2016-02-25,179,0,0,0,0,0,0,0
208,2,555270.0,971.0,61.0,162.0,2014-07-15,625,1,0,0,0,0,0,0
209,1,127370.0,106.0,170.0,57.0,2012-09-10,341,0,0,0,0,0,1,0
210,3,769740.0,1125.0,301.0,52.0,2015-12-12,9188,0,0,0,1,0,0,0
211,1,320097.0,401.0,87.0,26.0,2015-05-29,124,0,0,0,0,1,0,0
212,471,1017837.0,47134.0,286.0,1785.0,2014-04-18,654,0,1,0,0,0,0,0
213,1,259096.0,722.0,58.0,47.0,2015-10-11,311,0,0,0,0,0,1,0
214,1,37708.0,112.0,3.0,5.0,2016-05-27,96,0,0,0,1,0,0,0
215,11,2287062.0,2088.0,545.0,111.0,2014-08-27,5266,0,0,0,0,1,0,0
216,22,1245266.0,821.0,340.0,,2016-08-17,85,0,0,0,1,0,0,0
217,1,578.0,0.0,1.0,0.0,2013-11-16,417,0,0,0,1,0,0,0
218,12,3383658.0,20552.0,1347.0,4722.0,2016-04-30,582,0,1,0,0,0,0,0
219,1,122309.0,485.0,24.0,44.0,2015-01-09,476,1,0,0,0,0,0,0
220,5,165692.0,93.0,10.0,8.0,2011-11-08,16,0,0,0,1,0,0,0
221,1,35552.0,103.0,12.0,17.0,2017-02-07,994,0,0,0,1,0,0,0
222,4,210091.0,5475.0,222.0,642.0,2016-06-19,504,0,0,0,0,0,0,0
223,1,80852.0,487.0,15.0,67.0,2016-12-05,177,0,0,0,1,0,0,0
224,1,182838.0,1271.0,33.0,101.0,2015-07-30,1381,0,0,1,0,0,0,0
225,1,174770.0,47.0,29.0,2.0,2013-11-24,63,0,0,0,1,0,0,0
226,2,61745.0,360.0,13.0,33.0,2012-08-21,170,0,0,0,0,0,1,0
227,9,173389.0,190.0,14.0,21.0,2012-10-11,92,0,0,0,1,0,0,0
228,4,213274.0,1456.0,117.0,161.0,2016-09-16,631,0,0,0,1,0,0,0
229,8,6437.0,8.0,2.0,1.0,2014-04-18,221,0,0,0,1,0,0,0
230,2,451634.0,4494.0,452.0,330.0,2014-12-15,273,0,0,0,1,0,0,0
231,8,451701.0,736.0,113.0,54.0,2012-07-18,4508,0,0,0,1,0,0,0
232,1,6370.0,,,0.0,2016-10-25,201,0,0,0,1,0,0,0
233,16,64627.0,111.0,5.0,7.0,2013-12-18,162,0,1,0,0,0,0,0
234,92782,994350.0,10883.0,269.0,1625.0,2016-09-22,372,0,1,0,0,0,0,0
235,913,73858.0,1397.0,16.0,117.0,2016-04-29,896,0,0,0,1,0,0,0
236,1,475.0,4.0,1.0,0.0,2013-07-16,469,0,0,0,0,1,0,0
237,1,201567.0,1820.0,33.0,58.0,2015-05-06,790,0,0,0,1,0,0,0
238,1,7359.0,25.0,4.0,1.0,2012-07-18,961,0,0,0,0,0,1,0
239,1,4918.0,4.0,1.0,0.0,2016-02-25,31,0,0,0,1,0,0,0
240,12,2924037.0,15147.0,919.0,1118.0,2015-04-25,3296,0,0,0,1,0,0,0
241,2,1161919.0,685.0,230.0,59.0,2016-07-16,875,0,0,0,1,0,0,0
242,1,78137.0,1440.0,38.0,300.0,2014-12-31,148,0,0,0,0,0,1,0
243,4,4159.0,10.0,0.0,2.0,2014-11-04,120,0,0,0,1,0,0,0
244,1,300603.0,936.0,117.0,836.0,2016-04-22,677,0,0,0,0,1,0,0
245,2,2842181.0,7122.0,596.0,187.0,2016-01-22,226,0,0,0,0,0,1,0
246,1,15242.0,31.0,17.0,2.0,2013-10-08,53,0,0,0,0,0,1,0
247,1,115598.0,90.0,39.0,,2017-02-22,119,0,0,0,1,0,0,0
248,2,72040.0,152.0,17.0,17.0,2014-11-27,6198,0,0,0,0,1,0,0
249,7,3502308.0,7062.0,716.0,219.0,2014-06-06,57,0,0,0,1,0,0,0
250,1,51841.0,183.0,8.0,24.0,2014-01-22,1297,0,0,0,1,0,0,0
251,1,522447.0,14577.0,449.0,1243.0,2016-07-20,1752,1,0,0,0,0,0,0
252,8,21650.0,37.0,4.0,3.0,2015-10-23,152,0,0,0,0,1,0,0
253,11,197430.0,482.0,29.0,31.0,2013-12-18,688,0,1,0,0,0,0,0
254,18,522846.0,2606.0,28.0,632.0,2010-10-24,155,0,0,0,0,0,1,0
255,3,6711.0,31.0,1.0,6.0,2013-08-22,342,0,0,0,0,0,1,0
256,2,314985.0,1668.0,206.0,1099.0,2016-07-15,667,0,1,0,0,0,0,0
257,11,231201.0,386.0,50.0,,2013-09-20,519,0,1,0,0,0,0,0
258,42,201460.0,340.0,26.0,34.0,2013-03-20,226,0,0,0,1,0,0,0
259,2,2739797.0,8869.0,284.0,875.0,2013-06-15,2516,0,0,0,0,0,1,0
260,1,658.0,3.0,1.0,1.0,2016-09-05,712,0,0,0,0,1,0,0
261,4,10911.0,35.0,6.0,3.0,2011-02-04,675,0,0,0,0,0,1,0
262,1,111503.0,,,19.0,2015-01-10,1532,0,0,0,0,0,0,1
263,2,1227231.0,7101.0,4607.0,1901.0,2016-06-14,316,0,0,0,1,0,0,0
264,8,1663486.0,3908.0,532.0,235.0,2016-08-29,275,0,0,0,0,0,0,1
265,2,646333.0,1418.0,92.0,38.0,2014-06-07,277,0,0,0,1,0,0,0
266,1,220033.0,1025.0,189.0,575.0,2016-07-23,273,0,1,0,0,0,0,0
267,4,511438.0,5855.0,529.0,314.0,2016-08-02,267,0,0,0,1,0,0,0
268,1,243009.0,821.0,7.0,85.0,2010-09-24,292,0,0,0,0,0,1,0
269,1,433724.0,701.0,45.0,10.0,2016-09-24,603,0,0,0,1,0,0,0
270,1,399467.0,1048.0,180.0,145.0,2012-06-13,8523,0,0,0,1,0,0,0
271,1,72049.0,1859.0,31.0,671.0,2016-09-09,507,1,0,0,0,0,0,0
272,6,261614.0,121.0,78.0,19.0,2012-08-28,2377,0,0,0,1,0,0,0
273,2,35862.0,50.0,2.0,2.0,2014-04-28,1022,0,0,0,1,0,0,0
274,4,1114667.0,525.0,305.0,23.0,2016-04-15,153,0,0,0,1,0,0,0
275,14,560652.0,1016.0,196.0,95.0,2013-10-21,1360,0,0,0,1,0,0,0
276,16,4417750.0,21212.0,6067.0,1527.0,2015-07-01,302,0,0,0,0,0,1,0
277,2,80668.0,631.0,25.0,76.0,2015-02-18,275,0,0,1,0,0,0,0
278,1,4852.0,43.0,0.0,33.0,2015-12-15,1077,0,0,0,0,1,0,0
279,1687,171448.0,149.0,4.0,44.0,2016-07-28,1164,0,0,0,1,0,0,0
280,7,632.0,4.0,0.0,0.0,2016-10-19,21,0,0,0,1,0,0,0
281,10,1341876.0,2191.0,105.0,206.0,2010-10-06,202,0,0,0,0,0,1,0
282,4,6650767.0,61792.0,740.0,4780.0,2015-04-29,345,0,1,0,0,0,0,0
283,1,46944.0,152.0,27.0,23.0,2013-11-01,5468,0,0,0,0,0,1,0
284,3,16230.0,749.0,40.0,195.0,2016-12-21,428,0,0,0,1,0,0,0
285,6,43861.0,231.0,5.0,25.0,2013-11-04,240,0,0,1,0,0,0,0
286,5,425953.0,6513.0,206.0,1312.0,2016-08-24,409,0,0,0,0,0,0,0
287,1,209081.0,124.0,39.0,6.0,2015-06-26,7179,0,0,0,1,0,0,0
288,1,3787.0,132.0,9.0,45.0,2013-08-25,154,0,1,0,0,0,0,0
289,1,715738.0,4569.0,138.0,556.0,2015-01-08,214,0,1,0,0,0,0,0
290,1,1041.0,2.0,1.0,1.0,2016-12-30,61,0,0,0,1,0,0,0
291,11,1185443.0,13544.0,3457.0,3561.0,2016-08-14,448,0,0,0,1,0,0,0
292,25,787026.0,1873.0,308.0,171.0,2012-10-21,1180,0,0,0,0,0,1,0
293,1,491738.0,817.0,115.0,76.0,2016-02-27,9004,0,0,0,1,0,0,0
294,3,87604.0,125.0,11.0,5.0,2012-01-02,483,0,0,0,1,0,0,0
295,25,143266.0,320.0,21.0,66.0,2013-05-13,161,1,0,0,0,0,0,0
296,17,2718145.0,31101.0,645.0,5071.0,2016-02-12,446,0,1,0,0,0,0,0
297,1,73427.0,1806.0,7.0,336.0,2016-06-19,819,0,0,0,0,1,0,0
298,2,30259.0,454.0,32.0,274.0,2016-05-07,261,0,0,0,1,0,0,0
299,2,39803.0,220.0,5.0,8.0,2010-12-20,996,0,0,0,0,0,1,0
300,7,142533.0,452.0,19.0,27.0,2016-03-16,730,0,0,0,1,0,0,0
301,4,223879.0,254.0,25.0,15.0,2010-11-02,547,0,0,0,1,0,0,0
302,2,35810.0,673.0,5.0,38.0,2015-04-01,651,0,0,0,0,0,0,0
303,5,1895040.0,6084.0,644.0,172.0,2016-09-27,246,0,0,0,1,0,0,0
304,1,656479.0,4473.0,502.0,865.0,2016-06-01,182,0,1,0,0,0,0,0
305,1,359093.0,1431.0,48.0,268.0,2014-07-18,401,1,0,0,0,0,0,0
306,1,312793.0,1470.0,83.0,572.0,2016-04-19,244,0,0,0,0,1,0,0
307,5,4419311.0,3204.0,1322.0,185.0,2015-07-26,223,0,0,0,0,0,0,1
308,1,19212.0,104.0,4.0,8.0,2012-11-28,195,0,1,0,0,0,0,0
309,2,1381.0,32.0,2.0,3.0,2014-12-18,204,0,0,0,0,0,1,0
310,8,138050.0,443.0,63.0,39.0,2014-05-12,4629,0,0,0,0,0,1,0
